file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
myco.03.01.a.R1.fq.gz	FASTQ	DNA	976	268748	273	275.4	278
myco.03.01.a.R2.fq.gz	FASTQ	DNA	976	224477	227	230.0	230
myco.03.01.b.R1.fq.gz	FASTQ	DNA	10215	2815516	55	275.6	278
myco.03.01.d.R2.fq.gz	FASTQ	DNA	4154	954210	77	229.7	230
myco.03.01.c.R1.fq.gz	FASTQ	DNA	8669	2391894	141	275.9	278
myco.03.01.e.R2.fq.gz	FASTQ	DNA	11314	2600551	77	229.9	230
myco.03.01.e.R1.fq.gz	FASTQ	DNA	11314	3120776	31	275.8	278
myco.03.01.f.R1.fq.gz	FASTQ	DNA	16359	4434703	55	271.1	278
myco.03.01.f.R2.fq.gz	FASTQ	DNA	16359	3722462	77	227.5	230
myco.03.01.h.R2.fq.gz	FASTQ	DNA	2516	578674	227	230.0	230
myco.03.01.h.R1.fq.gz	FASTQ	DNA	2516	695786	273	276.5	278
myco.03.01.g.R1.fq.gz	FASTQ	DNA	9584	2398714	171	250.3	278
myco.03.01.g.R2.fq.gz	FASTQ	DNA	9584	2089741	77	218.0	230
myco.03.02.b.R2.fq.gz	FASTQ	DNA	1291	296615	78	229.8	230
myco.03.02.b.R1.fq.gz	FASTQ	DNA	1291	356432	55	276.1	278
myco.03.02.c.R1.fq.gz	FASTQ	DNA	2586	714538	54	276.3	278
myco.03.02.a.R1.fq.gz	FASTQ	DNA	10851	2996550	32	276.2	278
myco.03.02.c.R2.fq.gz	FASTQ	DNA	2586	594297	76	229.8	230
myco.03.02.e.R2.fq.gz	FASTQ	DNA	3835	881853	79	229.9	230
myco.03.02.e.R1.fq.gz	FASTQ	DNA	3835	1059967	56	276.4	278
myco.03.02.d.R1.fq.gz	FASTQ	DNA	7088	1959237	57	276.4	278
myco.03.02.d.R2.fq.gz	FASTQ	DNA	7088	1629863	79	229.9	230
myco.03.02.f.R1.fq.gz	FASTQ	DNA	2547	701519	56	275.4	278
myco.03.02.f.R2.fq.gz	FASTQ	DNA	2547	585499	78	229.9	230
myco.03.02.g.R2.fq.gz	FASTQ	DNA	2877	661337	78	229.9	230
myco.03.02.g.R1.fq.gz	FASTQ	DNA	2877	794351	156	276.1	278
myco.03.03.a.R1.fq.gz	FASTQ	DNA	3273	903159	55	275.9	278
myco.03.03.a.R2.fq.gz	FASTQ	DNA	3273	751687	78	229.7	230
myco.03.03.b.R1.fq.gz	FASTQ	DNA	1454	402110	274	276.6	278
myco.03.03.b.R2.fq.gz	FASTQ	DNA	1454	334411	227	230.0	230
myco.03.02.h.R1.fq.gz	FASTQ	DNA	23711	5363341	29	226.2	278
myco.03.02.h.R2.fq.gz	FASTQ	DNA	23711	4823312	76	203.4	230
myco.03.03.c.R1.fq.gz	FASTQ	DNA	8850	2420096	39	273.5	278
myco.03.03.c.R2.fq.gz	FASTQ	DNA	8850	2022093	78	228.5	230
myco.03.03.e.R1.fq.gz	FASTQ	DNA	9505	2626923	54	276.4	278
myco.03.03.d.R1.fq.gz	FASTQ	DNA	14843	3725724	30	251.0	278
myco.03.03.d.R2.fq.gz	FASTQ	DNA	14843	3216820	76	216.7	230
myco.03.03.e.R2.fq.gz	FASTQ	DNA	9505	2185432	77	229.9	230
myco.03.03.f.R1.fq.gz	FASTQ	DNA	12163	3320598	55	273.0	278
myco.03.03.f.R2.fq.gz	FASTQ	DNA	12163	2775332	77	228.2	230
myco.03.03.g.R1.fq.gz	FASTQ	DNA	18129	5002069	54	275.9	278
myco.03.03.g.R2.fq.gz	FASTQ	DNA	18129	4166773	79	229.8	230
myco.03.04.a.R1.fq.gz	FASTQ	DNA	8184	2262544	31	276.5	278
myco.03.04.a.R2.fq.gz	FASTQ	DNA	8184	1882014	76	230.0	230
myco.03.03.h.R1.fq.gz	FASTQ	DNA	24337	6507384	31	267.4	278
myco.03.03.h.R2.fq.gz	FASTQ	DNA	24337	5480714	77	225.2	230
myco.03.04.c.R1.fq.gz	FASTQ	DNA	4146	1144641	54	276.1	278
myco.03.04.b.R2.fq.gz	FASTQ	DNA	11509	2646851	80	230.0	230
myco.03.04.c.R2.fq.gz	FASTQ	DNA	4146	952638	77	229.8	230
myco.03.04.b.R1.fq.gz	FASTQ	DNA	11509	3174227	58	275.8	278
myco.03.04.d.R1.fq.gz	FASTQ	DNA	9069	2501570	54	275.8	278
myco.03.04.d.R2.fq.gz	FASTQ	DNA	9069	2082798	77	229.7	230
myco.03.04.e.R1.fq.gz	FASTQ	DNA	17240	4758184	54	276.0	278
myco.03.04.e.R2.fq.gz	FASTQ	DNA	17240	3961426	78	229.8	230
myco.03.04.g.R1.fq.gz	FASTQ	DNA	11278	3110986	59	275.8	278
myco.03.04.g.R2.fq.gz	FASTQ	DNA	11278	2589888	76	229.6	230
myco.03.04.f.R2.fq.gz	FASTQ	DNA	25792	5736747	77	222.4	230
myco.03.04.f.R1.fq.gz	FASTQ	DNA	25792	6755729	139	261.9	278
myco.03.04.h.R1.fq.gz	FASTQ	DNA	19637	5412964	56	275.7	278
myco.03.05.a.R1.fq.gz	FASTQ	DNA	12141	3349206	57	275.9	278
myco.03.05.b.R1.fq.gz	FASTQ	DNA	2361	650757	32	275.6	278
myco.03.05.a.R2.fq.gz	FASTQ	DNA	12141	2789007	77	229.7	230
myco.03.05.b.R2.fq.gz	FASTQ	DNA	2361	542166	170	229.6	230
myco.03.04.h.R2.fq.gz	FASTQ	DNA	19637	4510740	78	229.7	230
myco.03.05.d.R1.fq.gz	FASTQ	DNA	6071	1677360	57	276.3	278
myco.03.05.c.R1.fq.gz	FASTQ	DNA	10713	2960243	129	276.3	278
myco.03.05.d.R2.fq.gz	FASTQ	DNA	6071	1396052	79	230.0	230
myco.03.05.c.R2.fq.gz	FASTQ	DNA	10713	2463940	210	230.0	230
myco.03.05.e.R1.fq.gz	FASTQ	DNA	19013	4987778	58	262.3	278
myco.03.05.e.R2.fq.gz	FASTQ	DNA	19013	4232211	80	222.6	230
myco.03.05.f.R1.fq.gz	FASTQ	DNA	23637	5864004	55	248.1	278
myco.03.05.f.R2.fq.gz	FASTQ	DNA	23637	5082496	77	215.0	230
myco.03.05.g.R1.fq.gz	FASTQ	DNA	17186	4750988	55	276.4	278
myco.03.05.h.R1.fq.gz	FASTQ	DNA	10806	2984847	54	276.2	278
myco.03.05.g.R2.fq.gz	FASTQ	DNA	17186	3952341	76	230.0	230
myco.03.05.h.R2.fq.gz	FASTQ	DNA	10806	2483572	79	229.8	230
myco.03.06.b.R1.fq.gz	FASTQ	DNA	11635	3212179	41	276.1	278
myco.03.06.b.R2.fq.gz	FASTQ	DNA	11635	2674607	76	229.9	230
myco.03.06.a.R1.fq.gz	FASTQ	DNA	19681	5438728	42	276.3	278
myco.03.06.a.R2.fq.gz	FASTQ	DNA	19681	4525249	77	229.9	230
myco.03.06.c.R2.fq.gz	FASTQ	DNA	6351	1459128	77	229.7	230
myco.03.06.c.R1.fq.gz	FASTQ	DNA	6351	1750390	55	275.6	278
myco.03.06.d.R1.fq.gz	FASTQ	DNA	8143	2245700	153	275.8	278
myco.03.06.d.R2.fq.gz	FASTQ	DNA	8143	1870741	153	229.7	230
myco.03.06.e.R1.fq.gz	FASTQ	DNA	18480	5078400	54	274.8	278
myco.03.06.e.R2.fq.gz	FASTQ	DNA	18480	4237698	77	229.3	230
myco.03.06.g.R1.fq.gz	FASTQ	DNA	5625	1554286	54	276.3	278
myco.03.06.g.R2.fq.gz	FASTQ	DNA	5625	1292966	77	229.9	230
myco.03.06.f.R1.fq.gz	FASTQ	DNA	28122	7750992	54	275.6	278
myco.03.06.f.R2.fq.gz	FASTQ	DNA	28122	6457503	76	229.6	230
myco.03.06.h.R1.fq.gz	FASTQ	DNA	23570	6515692	32	276.4	278
myco.03.07.a.R1.fq.gz	FASTQ	DNA	15593	4306148	30	276.2	278
myco.03.06.h.R2.fq.gz	FASTQ	DNA	23570	5420235	76	230.0	230
myco.03.07.a.R2.fq.gz	FASTQ	DNA	15593	3585290	78	229.9	230
myco.03.07.b.R1.fq.gz	FASTQ	DNA	7888	2175110	28	275.7	278
myco.03.07.b.R2.fq.gz	FASTQ	DNA	7888	1811847	77	229.7	230
myco.03.07.c.R1.fq.gz	FASTQ	DNA	9289	2563932	56	276.0	278
myco.03.07.e.R1.fq.gz	FASTQ	DNA	15	4045	178	269.7	278
myco.03.07.e.R2.fq.gz	FASTQ	DNA	15	3398	178	226.5	230
myco.03.07.c.R2.fq.gz	FASTQ	DNA	9289	2134657	78	229.8	230
myco.03.07.d.R1.fq.gz	FASTQ	DNA	19766	5449469	29	275.7	278
myco.03.07.d.R2.fq.gz	FASTQ	DNA	19766	4541725	76	229.8	230
myco.03.07.g.R1.fq.gz	FASTQ	DNA	4080	1126077	55	276.0	278
myco.03.07.f.R2.fq.gz	FASTQ	DNA	18608	4275228	76	229.8	230
myco.03.07.f.R1.fq.gz	FASTQ	DNA	18608	5127544	54	275.6	278
myco.03.07.g.R2.fq.gz	FASTQ	DNA	4080	938014	80	229.9	230
myco.03.07.h.R2.fq.gz	FASTQ	DNA	11733	2697758	77	229.9	230
myco.03.08.a.R1.fq.gz	FASTQ	DNA	16060	4171263	56	259.7	278
myco.03.07.h.R1.fq.gz	FASTQ	DNA	11733	3242853	159	276.4	278
myco.03.08.a.R2.fq.gz	FASTQ	DNA	16060	3602409	77	224.3	230
myco.03.08.b.R1.fq.gz	FASTQ	DNA	9795	2705056	55	276.2	278
myco.03.08.b.R2.fq.gz	FASTQ	DNA	9795	2251501	78	229.9	230
myco.03.08.c.R1.fq.gz	FASTQ	DNA	12347	3410474	56	276.2	278
myco.03.08.c.R2.fq.gz	FASTQ	DNA	12347	2839461	80	230.0	230
myco.03.08.d.R1.fq.gz	FASTQ	DNA	9793	2700103	56	275.7	278
myco.03.08.d.R2.fq.gz	FASTQ	DNA	9793	2248388	78	229.6	230
myco.03.08.e.R2.fq.gz	FASTQ	DNA	11747	2700581	79	229.9	230
myco.03.08.e.R1.fq.gz	FASTQ	DNA	11747	3241514	56	275.9	278
myco.03.08.g.R1.fq.gz	FASTQ	DNA	7153	1974922	54	276.1	278
myco.03.08.g.R2.fq.gz	FASTQ	DNA	7153	1644594	76	229.9	230
myco.03.08.f.R2.fq.gz	FASTQ	DNA	22380	5146430	77	230.0	230
myco.03.08.h.R1.fq.gz	FASTQ	DNA	7581	2093407	54	276.1	278
myco.03.08.f.R1.fq.gz	FASTQ	DNA	22380	6180346	41	276.2	278
myco.03.08.h.R2.fq.gz	FASTQ	DNA	7581	1742058	76	229.8	230
myco.03.09.b.R1.fq.gz	FASTQ	DNA	16848	4655352	55	276.3	278
myco.03.09.b.R2.fq.gz	FASTQ	DNA	16848	3873181	77	229.9	230
myco.03.09.a.R1.fq.gz	FASTQ	DNA	19444	4845861	21	249.2	278
myco.03.09.a.R2.fq.gz	FASTQ	DNA	19444	4244353	21	218.3	230
myco.03.09.c.R1.fq.gz	FASTQ	DNA	12268	3384712	57	275.9	278
myco.03.09.c.R2.fq.gz	FASTQ	DNA	12268	2818485	76	229.7	230
myco.03.09.d.R1.fq.gz	FASTQ	DNA	16263	4492283	54	276.2	278
myco.03.09.d.R2.fq.gz	FASTQ	DNA	16263	3738573	77	229.9	230
myco.03.09.e.R2.fq.gz	FASTQ	DNA	11723	2664994	77	227.3	230
myco.03.09.f.R1.fq.gz	FASTQ	DNA	13119	3624470	42	276.3	278
myco.03.09.e.R1.fq.gz	FASTQ	DNA	11723	3181767	56	271.4	278
myco.03.09.f.R2.fq.gz	FASTQ	DNA	13119	3017045	79	230.0	230
myco.03.09.g.R1.fq.gz	FASTQ	DNA	7670	2119098	129	276.3	278
myco.03.09.g.R2.fq.gz	FASTQ	DNA	7670	1764015	194	230.0	230
myco.03.10.a.R1.fq.gz	FASTQ	DNA	7634	2109034	32	276.3	278
myco.03.10.a.R2.fq.gz	FASTQ	DNA	7634	1755033	78	229.9	230
myco.03.09.h.R2.fq.gz	FASTQ	DNA	13360	3070597	77	229.8	230
myco.03.09.h.R1.fq.gz	FASTQ	DNA	13360	3668305	54	274.6	278
myco.03.10.c.R1.fq.gz	FASTQ	DNA	6504	1796643	176	276.2	278
myco.03.10.c.R2.fq.gz	FASTQ	DNA	6504	1495620	176	230.0	230
myco.03.10.d.R1.fq.gz	FASTQ	DNA	12302	3396158	54	276.1	278
myco.03.10.d.R2.fq.gz	FASTQ	DNA	12302	2828025	166	229.9	230
myco.03.10.b.R1.fq.gz	FASTQ	DNA	36301	8798177	55	242.4	278
myco.03.10.b.R2.fq.gz	FASTQ	DNA	36301	7700654	76	212.1	230
myco.03.10.f.R2.fq.gz	FASTQ	DNA	7112	1634641	79	229.8	230
myco.03.10.f.R1.fq.gz	FASTQ	DNA	7112	1963143	32	276.0	278
myco.03.10.g.R2.fq.gz	FASTQ	DNA	6265	1440068	167	229.9	230
myco.03.10.g.R1.fq.gz	FASTQ	DNA	6265	1729880	167	276.1	278
myco.03.11.a.R1.fq.gz	FASTQ	DNA	7662	2116048	56	276.2	278
myco.03.11.a.R2.fq.gz	FASTQ	DNA	7662	1761426	77	229.9	230
myco.03.10.h.R1.fq.gz	FASTQ	DNA	23498	6492067	56	276.3	278
myco.03.11.b.R1.fq.gz	FASTQ	DNA	16079	4437268	29	276.0	278
myco.03.10.h.R2.fq.gz	FASTQ	DNA	23498	5402680	77	229.9	230
myco.03.11.b.R2.fq.gz	FASTQ	DNA	16079	3693614	77	229.7	230
myco.03.11.c.R1.fq.gz	FASTQ	DNA	16884	4660598	60	276.0	278
myco.03.11.d.R1.fq.gz	FASTQ	DNA	12525	3460401	43	276.3	278
myco.03.11.c.R2.fq.gz	FASTQ	DNA	16884	3879957	80	229.8	230
myco.03.11.d.R2.fq.gz	FASTQ	DNA	12525	2879820	79	229.9	230
myco.03.11.e.R2.fq.gz	FASTQ	DNA	13249	3044397	78	229.8	230
myco.03.11.e.R1.fq.gz	FASTQ	DNA	13249	3657682	54	276.1	278
myco.03.11.f.R2.fq.gz	FASTQ	DNA	21007	4830194	76	229.9	230
myco.03.11.f.R1.fq.gz	FASTQ	DNA	21007	5806744	54	276.4	278
myco.03.11.g.R2.fq.gz	FASTQ	DNA	8097	1861552	78	229.9	230
myco.03.11.g.R1.fq.gz	FASTQ	DNA	8097	2236547	43	276.2	278
myco.03.12.a.R1.fq.gz	FASTQ	DNA	2081	571501	56	274.6	278
myco.03.12.a.R2.fq.gz	FASTQ	DNA	2081	478443	78	229.9	230
myco.03.11.h.R2.fq.gz	FASTQ	DNA	14196	3264012	78	229.9	230
myco.03.12.b.R1.fq.gz	FASTQ	DNA	13051	3607811	141	276.4	278
myco.03.11.h.R1.fq.gz	FASTQ	DNA	14196	3921256	170	276.2	278
myco.03.12.d.R1.fq.gz	FASTQ	DNA	5	1169	161	233.8	278
myco.03.12.d.R2.fq.gz	FASTQ	DNA	5	1029	161	205.8	230
myco.03.12.b.R2.fq.gz	FASTQ	DNA	13051	3001137	78	230.0	230
myco.03.12.c.R1.fq.gz	FASTQ	DNA	17124	4732682	54	276.4	278
myco.03.12.c.R2.fq.gz	FASTQ	DNA	17124	3937288	77	229.9	230
myco.03.12.e.R2.fq.gz	FASTQ	DNA	18528	4157901	76	224.4	230
myco.03.12.e.R1.fq.gz	FASTQ	DNA	18528	4929341	42	266.0	278
myco.03.12.f.R1.fq.gz	FASTQ	DNA	9198	2542286	54	276.4	278
myco.03.12.f.R2.fq.gz	FASTQ	DNA	9198	2114840	77	229.9	230
