file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
myco.03.01.a.R1.filt.fastq.gz	FASTQ	DNA	395	89499	91	226.6	278
myco.03.01.b.R1.filt.fastq.gz	FASTQ	DNA	4594	1027566	90	223.7	278
myco.03.01.c.R2.filt.fastq.gz	FASTQ	DNA	3632	585086	90	161.1	230
myco.03.01.b.R2.filt.fastq.gz	FASTQ	DNA	4594	771821	90	168.0	230
myco.03.01.c.R1.filt.fastq.gz	FASTQ	DNA	3632	829116	90	228.3	278
myco.03.01.d.R2.filt.fastq.gz	FASTQ	DNA	1687	275413	90	163.3	230
myco.03.01.e.R1.filt.fastq.gz	FASTQ	DNA	6598	1574483	91	238.6	278
myco.03.01.e.R2.filt.fastq.gz	FASTQ	DNA	6598	1219120	90	184.8	230
myco.03.01.f.R1.filt.fastq.gz	FASTQ	DNA	9133	2188807	90	239.7	278
myco.03.01.f.R2.filt.fastq.gz	FASTQ	DNA	9133	1601928	90	175.4	230
myco.03.01.h.R1.filt.fastq.gz	FASTQ	DNA	1366	329715	93	241.4	278
myco.03.01.g.R2.filt.fastq.gz	FASTQ	DNA	5200	880915	90	169.4	230
myco.03.01.g.R1.filt.fastq.gz	FASTQ	DNA	5200	1167363	90	224.5	278
myco.03.01.h.R2.filt.fastq.gz	FASTQ	DNA	1366	248093	90	181.6	230
myco.03.02.b.R1.filt.fastq.gz	FASTQ	DNA	488	109817	91	225.0	278
myco.03.02.b.R2.filt.fastq.gz	FASTQ	DNA	488	76526	90	156.8	230
myco.03.02.a.R1.filt.fastq.gz	FASTQ	DNA	4827	1100063	90	227.9	278
myco.03.02.a.R2.filt.fastq.gz	FASTQ	DNA	4827	792707	90	164.2	230
myco.03.02.c.R2.filt.fastq.gz	FASTQ	DNA	1058	168869	90	159.6	230
myco.03.02.e.R2.filt.fastq.gz	FASTQ	DNA	2166	353297	90	163.1	230
myco.03.02.e.R1.filt.fastq.gz	FASTQ	DNA	2166	512008	90	236.4	278
myco.03.02.d.R1.filt.fastq.gz	FASTQ	DNA	3087	708009	90	229.4	278
myco.03.02.d.R2.filt.fastq.gz	FASTQ	DNA	3087	508539	90	164.7	230
